DW_TEMPO;invoice_date;Ano;Mes;Dia
2f6884710b0f2ff9fa605852bd9a36ed5ad2c6501a89d0cf6c3f704e75d61e46;2017-07-09;2017;7;9
738e85cb394dcae0951a76e2dd2b65251affa06d242feed4632eaf8630933bc2;2018-09-18;2018;9;18
f694596ce1ade43838ab83eec4974e3ab0d8e3e0d87dcae4a1dae07593fcf541;2017-12-30;2017;12;30
82f90869dbadb0f73a5c0ab5ed5f9b24e18ababe0a67995c012d801cf6ccdc98;2018-03-28;2018;3;28
ab9565459eb2d919db4cec292bb895ac20b2de3b3a9a17c98f81f4fdc9f3c94b;2017-09-06;2017;9;6
54d0eee74fe80ac67e8f65ceced7c674308d11bd6da02d6ae29959d02d563a6b;2017-08-23;2017;8;23
a1c06f1ce919cd170fdaa76e4364a2328c78f0565f0de06adca5108bb51422ba;2017-05-05;2017;5;5
2a2d14e78be29f4877062d7ffffd07b89abc877b0456f2bf924cb4678a24ff9e;2017-04-19;2017;4;19
15dd4119688e5c40bc87fac0b97bdf53825640013ad34806ef34b9893c039bb7;2018-05-16;2018;5;16
a71ad06a818b80eedc384df86ddd53df365c5b5b65ddbf534be71d4c0a78fbcb;2017-07-26;2017;7;26
bfe9a84e0a1e00908e695dd20aff4b988cbd6f6d4007f91791534f69659149ab;2017-12-23;2017;12;23
ce71b9129eb330a5017df0521bd75bf23513f48b3cfd9c5451e6ea958f2cec2e;2017-11-08;2017;11;8
f535b3b709d574c6c3644e9f734587be0792c38dae0dce3d79490869ba475a5e;2017-09-29;2017;9;29
6166a7751b169e7583eb557364eccf501a775337d3c9697b08f1f751e956f028;2018-09-30;2018;9;30
b943e84124abecc7d84328a7a22515309cee17c826c0f474ddcb57f2ead9ed14;2018-01-29;2018;1;29
01a29bee262df448e9d7687f44a5b8f3da77993a52db6c700c9e49c44781d573;2017-12-09;2017;12;9
68b5ee97dac5c8df7dece03c7166e23101f54436f1903e7ba682f08e3ff2347f;2019-02-20;2019;2;20
03cba334851aa3de7793668358aa0603137ac4704ddf573aabe5bb8d8c4a02d1;2017-07-05;2017;7;5
d43b27f18960cf6455907529a0c87c70c26df27f3c3b8885c38537e8485f59d2;2017-03-25;2017;3;25
55d0dacacf25fa35f3f9f93848f8bd50699af2947b0b35ec7477c2a9f0d1cd38;2018-06-25;2018;6;25
57f6f6a7eb6ca5c33b36cb5ea1e05a2d4eb6af5dbdedb2ba1a39e74a470e9bc7;2017-03-24;2017;3;24
cb2ffe08dcac84848f63e33f603f782d5ce8a6612d0e0c2b16c44afc3b0b3f70;2018-01-30;2018;1;30
f1e28be1dc23fc95801eb43bd205c9470f3f2c9a0d202a4d655192773e2c2a30;2018-11-03;2018;11;3
e7eaea8f2de28bb4d32dd1fca7007fcd2bd2374bdd40c4aa85257fd2d4614ce1;2017-04-23;2017;4;23
1f14c5c5f3db537b3a271c9cb23a5842d5d9d5deff5f3b7d4dbd763d73630b14;2017-05-14;2017;5;14
1d9b1b57ed0c132fd1b93da90be4bbd74e7c344421cb7d816d11185b867068a1;2018-11-14;2018;11;14
40f1c3614a23db7e1f6d091ed1270e562bc6397ad5e48a38efb6d5bfeb8bece5;2017-11-24;2017;11;24
94212d3fd68b5de377a5b10b6cf28e13a86083dbabdf28b35e94e548188daa5a;2017-05-25;2017;5;25
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;"";"";"";""
1fdd8a38da1407fa4adc784e5ff4fe5c7f999a5c3b8600260da92df23d526c75;2017-11-05;2017;11;5
d7fe900aad206aaee5f2c469cd959cead144886525921a4e8c5129840161cbc5;2017-08-04;2017;8;4
773acee6a7074e9cb301d8364a8eb1dd5297bb7583071198ecef65f59da24576;2017-08-11;2017;8;11
391f41123878babab22c40020b750bd1a77ff58d17504cba7feff3d8b92f1e38;2019-03-11;2019;3;11
a4766ae381797ab5b5b8c36d73dc7b99bcf0c9c722e7c4529dc64543dc2c8ab3;2018-03-04;2018;3;4
d3bee82765c921276666db5c5125fcc58ecee3b1052bf277c8e460912b32ff68;2018-06-23;2018;6;23
0bdf576053f112936639eec47c7d27ae8ee47a9cba9c8b9adedadd31b1b763e3;2018-12-26;2018;12;26
3c21053bf5408eb972d023db93786d247b8ae4e97b6b9c9754dfdb3fcb300b83;2018-02-21;2018;2;21
fd1c0896416df25cb6e91a7d38a433bc859280393ab6ba8fe0766451fabfe413;2018-01-23;2018;1;23
b39e4a05f540676f4fc31e8de6a6de5c9f7c20a823e79d0aaa61911297afa466;2018-08-22;2018;8;22
8720767c5529a71067f988f141e977793ecf27d3c683664751041a09f5ea6a6a;2017-01-18;2017;1;18
615b53df14514d616a593ac9374a0e97e9f3e79612941810d9dc0e089fd0ce7e;2018-09-15;2018;9;15
a7209eeebc650f5aa3356dbcf3e69d2503ea00f287c2ccf87970177443967083;2017-05-31;2017;5;31
ba4b55344a415ba04d97c8c62ef20aa4c6cbd5dbb027539e5ceeb322c15f80b7;2018-12-02;2018;12;2
d8ac970f6ddabfe6547b22c4b144df60876a3a62a669c19be5c4f9454eae51b2;2018-10-06;2018;10;6
ad9ca0ca61b826135e50637c425e59efc31dd08017a8b76f5edbd12c5b78cb9e;2017-08-24;2017;8;24
ce7012777e31b77b5c462b8875b87b3fbdd535d5f5f7d89d928bf48e99917766;2018-07-17;2018;7;17
29ab97de65092753cf60330640c470261423cbdaf9b124537e26e5ddff3110fb;2018-12-11;2018;12;11
f763a311b08aee628f3b47a51846d97041d017809e3346c3256a7389f9e46f38;2017-02-01;2017;2;1
dff6b3a020ae2a85b2f8bc733ceb08b111c8f54ba8bb865d1d760bd7bcca12c4;2017-08-02;2017;8;2
bf5ad721b93981bfca0cee975053cd3fe2a0ff23f2091a3b22928dfc25b4ae6e;2018-04-17;2018;4;17
8b82913572cd816327f752899989234fa4f34374792cd9ac71fcde52dbdc8a6d;2019-02-10;2019;2;10
0eb571e24f2e66f4ebbc99dd1589dedb6dfb6ec5ce6865a0f428a027db0ce9e5;2017-07-03;2017;7;3
749234e874322516b6870ac7a33ba8231c914ad8ad7d7b3f96bb3bf3fca29c6d;2018-02-01;2018;2;1
1380772647f5385a7f6f270ee7fe46ae734374b8bc053d38c4d0597c658d5e01;2018-08-29;2018;8;29
94f163f4ccc4a4ca928097dbb3db55cce4933e88e16135fc719d223496096a18;2017-01-22;2017;1;22
d4e3884a5f1e2fbc2ac4aadeee9994d4da3abffde36e316a5f24cd5ed9757816;2017-04-27;2017;4;27
01f1976dbf33aa738e37855fd87542cfb90ab689bd8941d8f8a36dd986f13492;2017-03-17;2017;3;17
f82c2bdae6d7a672854a57424bb92f555c9eb52ac3ff65a022279d9e614d253e;2018-10-21;2018;10;21
d8e13dd3cd8d370e88719cf2d40e6e74b3603849063fe74861754d8fe46de4dd;2018-09-09;2018;9;9
8adb8c5abc3eda9cd7a74f6328919609797e614adc9f3aad8d5211e6d00e4d94;2018-12-09;2018;12;9
aba36c1a2a7fb1851452bfd1c3e05aafd4f24fc01a4b2b2fea812b34232d4fbe;2017-10-29;2017;10;29
